sampleID	station_num_BODC	lat	lon	aluminum_dissolved_nmol.kg	aluminum_total.particulate_nmol.kg	cobalt_dissolved_pmol.kg	copper_dissolved_nmol.kg	dissolved.organic.carbon_dissolved_umol.kg	iron_dissolved_nmol.kg	iron_soluble_nmol.kg	iron_total.particulate_nmol.kg	ironII_dissolved_nmol.kg	L1.copper.bind_dissolved_logK	L1.copper.conc_dissolved_nmol.kg	L1.iron.bind_dissolved_logK	L1.iron.conc_dissolved_nmol.kg	L2.iron.bind_dissolved_nmol.kg	L2.iron.logk_dissolved_logK	lead_dissolved_pmol.kg	manganese_dissolved_nmol.kg	nickel_dissolved_nmol.kg	nitrate_dissolved_umol.kg	nitrite_dissolved_umol.kg	oxygen_dissolved_umol.kg	phosphate_dissolved_umol.kg	pressure_dissolved_dbar	salinity_dissolved_PSS.1978	silicate_dissolved_umol.kg	temperature_dissolved_deg.c	zinc_dissolved_nmol.kg
S0238	1700135	17.35162	-20.81672	3.512195	0.21122	101.463417	0.653659	54.146343	0.384756	0.198	0.272	0.068293	13.9	2.75122	0	0	1.395122	11.95	24.1	1.801951	NA	0.88322	0.259707	110.1	0.836488	52.1	35.98	3.32	18.51	0.149024
S0239	1700135	17.35162	-20.81672	6.956098	2.303415	142.439026	0.814634	NA	1.309756	0.359	0.663317	0.126829	13.65	3.434146	12.27	2.097561	1.258537	11.27	23.200001	0.760976	NA	1.102732	0.037366	60.6	0.89922	87.1	35.669998	6.93	15.23	0.311463
S0240	1700135	17.35162	-20.81672	8.643903	2.950732	131.707321	0.629268	48.682926	1.38878	0.421	0.932	0.243902	13.95	2.458537	12.16	2.585366	0.917073	11.26	24.950001	0.595122	NA	1.115317	0.023317	63.5	0.901268	101.6	35.580002	7.41	14.51	0.294512
S0241	1700135	17.35162	-20.81672	12.292683	NA	103.414627	0.721951	171.609756	1.411707	0.428	NA	0.165854	13.75	2.146342	12.58	2.117073	0.702439	11.23	23.1	0.52878	NA	1.118732	0.019415	75.6	0.897951	141.6	35.580002	8.29	13.87	0.400244
S0242	1700135	17.35162	-20.81672	12	8.040586	105.365852	0.643902	NA	1.406342	0.457	2.15561	0.146341	14.15	1.551219	12.55	1.463415	0	0	23.75	0.555122	NA	1.127805	0.012488	76.6	0.904878	186.2	35.41	9.17	12.93	0.555976
S0243	1700135	17.35162	-20.81672	NA	NA	36.097561	NA	NA	0.384634	0.1715	NA	0.068293	NA	NA	12.51	1.180488	1.170732	11.32	17	NA	NA	0.02039	0.002439	NA	0.014049	2	36.220001	NA	27.35	0.02
S0244	1700233	17.4018	-24.49811	NA	NA	NA	NA	67.804878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	202.7	0.02	32	36.919998	0.39	26.67	NA
S0245	1700233	17.4018	-24.49811	9.521952	0.754146	50.731709	0.712195	NA	0.167805	0.074	0.385561	0.058537	NA	NA	12.29	0.878049	0.614634	11.36	24.15	1.795122	NA	0.043805	0.001366	212.2	0.055707	50.7	36.900002	0.49	24	0.090732
S0246	1700233	17.4018	-24.49811	15.863415	0.728683	66.341461	0.614634	NA	0.167317	0.077	0.306927	0.058537	13.9	1.902439	12.42	1.082927	1.37561	11.28	24.049999	1.356098	NA	0.975805	0.194244	184.5	0.215317	72.3	36.810001	0.88	21.96	0.098293
S0247	1700233	17.4018	-24.49811	11.765854	1.050049	81.951218	0.678049	59.317074	0.328293	0.122	0.358146	0.087805	13.95	2.351219	12.55	1.258537	0.682927	11.35	20.299999	0.927805	NA	1.084098	0.085463	165.5	0.395415	92.2	36.73	1.46	20.59	0.106098
S0248	1700233	17.4018	-24.49811	15.492683	3.91678	85.853661	0.75122	59.512196	0.532195	0.159	1.146537	0.078049	13.85	1.873171	12.34	1.287805	0.497561	11.61	24.25	0.342439	NA	1.128488	0.04	157	0.517268	137.4	36.639999	1.95	18.65	0.165366
S0249	1700233	17.4018	-24.49811	16.556099	NA	94.634148	0.829268	NA	0.726341	0.349	NA	0.058537	NA	NA	12.23	1.580488	0.517073	11.37	21.25	0.272195	NA	16.139999	0	115.7	0.98	186.6	36.150002	4.88	16.07	0.196585
S0250	1700233	17.4018	-24.49811	16.351219	NA	25.365854	NA	NA	0.458537	0.063	NA	0.058537	NA	NA	12.23	0.887805	0.692683	11.18	14	NA	NA	0.034634	9.76e-4	NA	0.021951	2	36.93	NA	26.79	0.01
